cocktail_name,ingredients_list,recipe,glassware,source
Bitter Mai Tai,"Campari, aged Jamaican rum, orange curaçao, orgeat, lime juice","1/2 ounce Campari<br>
3/4 ounce aged Jamaican rum (preferably Smith & Cross)<br>
1/2 ounce orange curaçao<br>
3/4 ounce orgeat<br>
1 ounce lime juice",,Easy Tiki
Mai Sha Roa Na,"aged overproof Jamaican rum, banana liqueur, macadamia nut syrup, lime juice","2 ounces aged overproof Jamaican rum<br>
1/2 ounce banana liqueur (preferably Giffard banane du Brésil or Tempus Fugit crème de banane)<br>
1/2 ounce Orgeat Works Ltd macadamia nut syrup<br>
3/4 ounce lime juice",,Easy Tiki
Kentucky Mai Tai,"bourbon, mezcal, Cynar, peach liqueur, lemon juice, orgeat","1 ounce bourbon (preferably Evan Williams Black Label)<br>
1 ounce mezcal (preferably Nuestra Soledad Espadin Joven)<br>
1/2 ounce Cynar<br>
1/2 ounce peach liqueur (preferably Combier or Giffard crème de pêche de vigne)<br>
1/2 ounce lemon juice<br>
1/2 ounce orgeat",,Easy Tiki
Breakfast Mai Tai,"overproof Jamaican rum, banana liqueur, orgeat, cinnamon syrup, lime juice, black rum","1 1/2 ounces overproof Jamaican rum (preferably Smith & Cross)<br>
1/2 ounce banana iqueur (preferably Giffard Banane du Brésil)<br>
1/2 ounce orgeat<br>
1/4 ounce cinnamon syrup<br>
1 ounce lime juice<br>
3/4 ounce black rum (preferably Hamilton)",,Easy Tiki
Caribe Daiquiri,"unaged Puerto Rican rum, pineapple juice, lime juice, sugar","2 ounces unaged Puerto Rican rum (preferably Ron del Barrilito 2 Star)<br>
3/4 ounce pineapple juice<br>
1/2 ounce lime juice<br>
1 barspoon superfine sugar",,Easy Tiki
Circe,"Batavia arrack, aged overproof Jamaican rum, manzanilla sherry, elderflow liqueur, ginger syrup, lemon juice","1 ounce Batavia Arrack van Oosten<br>
1/2 ounce aged overproof Jamaican rum (preferably Plantation O.F.T.D.)<br>
3/4 ounce manzanilla sherry<br>
1/2 ounce St-Germain elderflow liqueur<br>
1/4 ounce ginger syrup<br>
3/4 ounce lemon juice",,Easy Tiki
Tropic of Capricorn,"green tea-infused Demerara rum, banana liqueur, lime juice, simple syrup, Fernet-Branca","2 ounce green tea-infused Demerara rum<br>
1/4 ounce banana liqueur (preferably Fugit crème de banane)<br>
3/4 ounce lime juice<br>
1/2 ounce cane syrup (see simple syrup variation)<br>
1 teaspoon Fernet-Branca",,Easy Tiki
Jamaican Mule,"aged Jamaican rum, ginger syrup, lime juice, pineapple juice, Angostura bitters","2 ounces aged Jamaican rum (preferably Appleton Estate V/X)<br>
1 ounce ginger syrup<br>
3/4 ounce lime juice<br>
1/2 ounce pineapple juice<br>
2 dashes Angostura bitters",,Easy Tiki
Makalapa,"blended aged rum, lime juice, grapefruit juice, hibiscus honey syrup, soda water","2 ounces blended aged rum or Demerara rum<br>
1/2 ounce lime juice<br>
1/2 ounce grapefruit juice<br>
1 ounce hibiscus honey syrup<br>
1/2 ounce soda water",coupe,Easy Tiki
Makalapa,"Demerara rum, lime juice, grapefruit juice, hibiscus honey syrup, soda water","2 ounces blended aged rum or Demerara rum<br>
1/2 ounce lime juice<br>
1/2 ounce grapefruit juice<br>
1 ounce hibiscus honey syrup<br>
1/2 ounce soda water",coupe,Easy Tiki
Sleeping Lotus,"dry gin, orgeat, lemon juice, orange bitters, mint leaves","2 ounces dry gin<br>
1 ounce orgeat<br>
3/4 ounce lemon juice<br>
2 dashes orange bitters<br>
10 mint leaves",,Easy Tiki
Jah Rule,"cachaça, aged Jamaican rum, Luxardo Bitter Bianco, lime juice, absinthe","1 ounce cachaça (preferably Novo Fogo Silver)<br>
1 ounce aged Jamaican rum (preferably Doctor Bird)<br>
1/2 ounce Luxardo Bitter Bianco<br>
1/2 ounce lime juice<br>
1 dash absinthe",,Easy Tiki
Island to Islay Punch,"aged Barbados rum, peated Scotch, passion fruit juice, cinnamon syrup, lime juice, Bittermens 'Elemakule Tiki bitters","2 ounces aged Barbados rum (preferably Mount Gay Eclipse)<br>
1/2 ounce peated Scotch (preferably Bruichladdich Port Charlotte)<br>
1 ounce passion fruit juice<br>
1/2 ounce cinnamon syrup<br>
3/4 ounce lime juice<br>
2 dashes Bittermens 'Elemakule Tiki Bitters",,Easy Tiki
Austral Summer,"brandy, Irish whiskey, lemon juice, coconut liqueur, green Chartreuse, Angostura bitters","1 1/2 ounces brandy (preferably Monteru)<br>
1/2 ounce Irish whiskey (preferably Redbreast 12 year)<br>
3/4 ounce lemon juice<br>
1/2 ounce coconut liqueur (preferably Kalani coconut rum liqueur)<br>
1/2 ounce green Chartreuse<br>
1 dash Angostura bitters",,Easy Tiki
Good Enough Gatsby,"rye, pear eau de vie, cinnamon syrup, pineapple juice, lime juice, Fernet-Branca","1 1/2 ounces rye (preferably Wild Turkey 101)<br>
1/2 ounce pear eau de vie (preferably Clear Creek)<br>
3/4 ounce cinnamon syrup<br>
3/4 ounce pineapple juice<br>
1/2 ounce lime juice<br>
1 teaspoon Fernet-Branca",,Easy Tiki
Morale & Welfare,"aged overproof rum, cinnamon syrup, lime juice, grapefruit juice, mole bitters","1 1/2 ounces aged overproof rum (preferably Plantation O.F.T.D.)<br>
3/4 ounce cinnamon syrup<br>
3/4 ounce lime juice<br>
1/2 ounce grapefruit juice<br>
2 dashes mole bitters",,Easy Tiki
Gardenia Mix,"butter, honey, water, vanilla extract, smoked salt, macadamia nut liqueur","1/2 pound butter<br>
1/2 quart honey<br>
1/8 cup boiling water<br>
1/2 ounce vanilla extract<br>
1 teaspoon Maldon smoked salt<br>
1/4 cup Trader Vic's macadamia nut liqueur (optional)",,Easy Tiki
Donn's Mix,"cinnamon syrup, grapefruit juice","1 cup cinnamon syrup<br>
2 cups grapefruit juice",,Easy Tiki
Donn's Spices #2,"sugar, water, vanilla bean paste, pimento dram","2 cups sugar<br>
2 cups water<br>
1 teaspoon vanilla bean paste<br>
3/4 ounce pimento dram (preferably St. Elizabeth)",,Easy Tiki
